n_estimators,num_leaves,learning_rate,best_iteration,val_utility,val_auroc,val_auprc,val_recall,val_lift_at_10pct,threshold,seconds
300,31,0.1,292,0.4364334371122919,0.8392714961680224,0.14038125066799742,0.6646406864497676,5.4054786415672575,0.010000000000000453,23.6
300,49,0.05,224,0.435442074954938,0.8442901794728354,0.13458018983160178,0.7096889524490525,5.409053693578876,4.440892098500626e-16,17.9
300,70,0.05,224,0.435442074954938,0.8442901794728354,0.13458018983160178,0.7096889524490525,5.409053693578876,4.440892098500626e-16,17.3
300,31,0.05,298,0.43541515484913024,0.8426443467120545,0.13505703496765153,0.6542724347515195,5.409053693578876,0.010000000000000453,20.2
200,31,0.05,200,0.4351904304876049,0.8432405827401948,0.13477196406503855,0.7096889524490525,5.341127705358123,4.440892098500626e-16,14.8
200,31,0.1,198,0.4350558299585664,0.8411048615830475,0.1375962664387697,0.6624955309259921,5.391178433520783,0.010000000000000453,14.9
200,49,0.05,200,0.43368290456237263,0.8438768925535224,0.13419368760712905,0.7071862710046478,5.351852861392979,4.440892098500626e-16,15.0
200,70,0.05,200,0.43368290456237263,0.8438768925535224,0.13419368760712905,0.7071862710046478,5.351852861392979,4.440892098500626e-16,14.6
200,49,0.1,168,0.43120859570682823,0.8431779452511232,0.1348112456895731,0.656417590275295,5.409053693578876,0.010000000000000453,14.3
200,70,0.1,168,0.43120859570682823,0.8431779452511232,0.1348112456895731,0.656417590275295,5.409053693578876,0.010000000000000453,14.6
300,49,0.1,168,0.43120859570682823,0.8431779452511232,0.1348112456895731,0.656417590275295,5.409053693578876,0.010000000000000453,15.0
300,70,0.1,168,0.43120859570682823,0.8431779452511232,0.1348112456895731,0.656417590275295,5.409053693578876,0.010000000000000453,14.5
100,31,0.1,100,0.4286628900489243,0.8397461850119903,0.133113053341238,0.7068287450840186,5.333977601334887,4.440892098500626e-16,9.5
100,49,0.1,99,0.4285353121561833,0.8419933097680173,0.13153478726330603,0.6474794422595638,5.258901509090897,0.010000000000000453,9.4
100,70,0.1,99,0.4285353121561833,0.8419933097680173,0.13153478726330603,0.6474794422595638,5.258901509090897,0.010000000000000453,10.0
100,49,0.05,100,0.4260294014372995,0.8402024177590155,0.12889823268637035,0.6814444047193422,5.230301092997948,4.440892098500626e-16,9.2
100,70,0.05,100,0.4260294014372995,0.8402024177590155,0.12889823268637035,0.6814444047193422,5.230301092997948,4.440892098500626e-16,10.0
100,31,0.05,100,0.4236335120204124,0.8403821665918865,0.1283363224982758,0.6796567751161959,5.208850780928238,4.440892098500626e-16,11.2
100,49,0.15,96,0.4216695147358317,0.8416479519295951,0.13784103806741238,0.6031462281015374,5.42335390162535,0.020000000000000462,9.4
100,70,0.15,96,0.4216695147358317,0.8416479519295951,0.13784103806741238,0.6031462281015374,5.42335390162535,0.020000000000000462,9.7
200,49,0.15,96,0.4216695147358317,0.8416479519295951,0.13784103806741238,0.6031462281015374,5.42335390162535,0.020000000000000462,10.4
200,70,0.15,96,0.4216695147358317,0.8416479519295951,0.13784103806741238,0.6031462281015374,5.42335390162535,0.020000000000000462,10.6
300,49,0.15,96,0.4216695147358317,0.8416479519295951,0.13784103806741238,0.6031462281015374,5.42335390162535,0.020000000000000462,11.9
300,70,0.15,96,0.4216695147358317,0.8416479519295951,0.13784103806741238,0.6031462281015374,5.42335390162535,0.020000000000000462,10.6
100,31,0.15,84,0.4209415014396403,0.8395493317005565,0.13352570554071175,0.7050411154808723,5.409053693578876,4.440892098500626e-16,9.3
200,31,0.15,84,0.4209415014396403,0.8395493317005565,0.13352570554071175,0.7050411154808723,5.409053693578876,4.440892098500626e-16,10.5
300,31,0.15,84,0.4209415014396403,0.8395493317005565,0.13352570554071175,0.7050411154808723,5.409053693578876,4.440892098500626e-16,10.5
